Species num,species,treatment,trial,primary,pennulae,barbs frayed,bg noise (dB),bg noise (Pa),avg power (Pa),average power (dB),diff sum of squares (Pa),dB corrected (dB),SPL partial (dB),,,How each column is calculated:,,notes
16,AMKE,2,1,1,2,0,59.5,0.018881218,0.292435435,83.3,0.291825262,83.28185775,42.28185775,,,,,
16,AMKE,2,1,1,2,0,59.6,0.019099852,0.331917381,84.4,0.331367384,84.38559528,43.38559528,,,,,
16,AMKE,2,2,1,2,0,59.6,0.019099852,0.355655882,85,0.35514265,84.98745671,43.98745671,,,,,
16,AMKE,2,3,1,2,0,59.6,0.019099852,0.417859226,86.4,0.417422482,86.39091681,45.39091681,,,,,
16,AMKE,2,1,1,2,0,60.1,0.020231589,0.468845763,87.4,0.468409044,87.39190552,46.39190552,,,,,
16,AMKE,2,3,1,2,0,60.1,0.020231589,0.496626621,87.9,0.496214352,87.89278652,46.89278652,,,,,
16,AMKE,2,2,1,2,0,60.1,0.020231589,0.72615611,91.2,0.725874217,91.1966275,50.1966275,,,,,
3,BDOW,1,1,1,2,0,59.4,0.018665086,0.025764991,62.2,0.017760893,58.96869612,17.96869612,,,,,
3,BDOW,1,1,0,2,0,59.9,0.019771062,0.030271225,63.6,0.022922744,61.18473199,20.18473199,,,,,
3,BDOW,1,2,0,2,0,59.7,0.019321018,0.030621749,63.7,0.023756889,61.49519146,20.49519146,,,,,
3,BDOW,1,2,0,2,0,59.9,0.019771062,0.032064908,64.1,0.025244077,62.02259007,21.02259007,,,,,
3,BDOW,1,2,1,2,0,59.8,0.019544744,0.035158472,64.9,0.029225351,63.29459477,22.29459477,,,,,
3,BDOW,1,3,0,2,0,59.9,0.019771062,0.035565588,65,0.029563764,63.3945947,22.3945947,,,,,
3,BDOW,1,2,1,2,0,59.7,0.019321018,0.035158472,64.9,0.029373737,63.33858409,22.33858409,,,,,
3,BDOW,1,3,0,2,0,60.7,0.021678538,0.038109214,65.6,0.031342514,63.90207665,22.90207665,,,,,
3,BDOW,1,1,1,2,0,59.8,0.019544744,0.03681544,65.3,0.031199032,63.86222251,22.86222251,,,,,
3,BDOW,1,1,0,2,0,59.7,0.019321018,0.037241743,65.4,0.031837803,64.03826185,23.03826185,,,,,
3,BDOW,1,3,0,2,0,59.7,0.019321018,0.037241743,65.4,0.031837803,64.03826185,23.03826185,,,,,
3,BDOW,1,3,0,2,0,59.7,0.019321018,0.038109214,65.6,0.032848295,64.30965661,23.30965661,,,,,
3,BDOW,1,3,0,2,0,60.2,0.02046586,0.039448455,65.9,0.033724311,64.53826189,23.53826189,,,,,
3,BDOW,1,2,0,2,0,59.4,0.018665086,0.037672982,65.5,0.032724122,64.27676005,23.27676005,,,,,
3,BDOW,1,1,0,2,0,59.4,0.018665086,0.038996892,65.8,0.03423992,64.67005502,23.67005502,,,,,
3,BDOW,1,3,1,2,0,59.4,0.018665086,0.039905246,66,0.035270997,64.92775478,23.92775478,,,,,
3,BDOW,1,3,1,2,0,59.8,0.019544744,0.040834759,66.2,0.035853598,65.0700551,24.0700551,,,,,
3,BDOW,1,1,0,2,0,60.5,0.021185075,0.042759242,66.6,0.037142232,65.37675998,24.37675998,,,,,
3,BDOW,1,1,1,2,0,59.8,0.019544744,0.041307603,66.3,0.036391222,65.1993329,24.1993329,,,,,
3,BDOW,1,3,1,2,0,59.8,0.019544744,0.041307603,66.3,0.036391222,65.1993329,24.1993329,,,,,
3,BDOW,1,1,0,2,0,60.2,0.02046586,0.042269781,66.5,0.036984902,65.33988948,24.33988948,,,,,
3,BDOW,1,2,1,2,0,60.5,0.021185075,0.04325437,66.7,0.03771118,65.5088026,24.5088026,,,,,
3,BDOW,1,2,0,2,0,60.5,0.021185075,0.04325437,66.7,0.03771118,65.5088026,24.5088026,,,,,
3,BDOW,1,1,1,2,0,60.2,0.02046586,0.04325437,66.7,0.038106287,65.59933274,24.59933274,,,,,
3,BDOW,1,2,1,2,0,59.2,0.018240217,0.041785923,66.4,0.037594652,65.48192142,24.48192142,,,,,
3,BDOW,1,1,0,2,0,60.7,0.021678538,0.045292886,67.1,0.039767908,65.97005501,24.97005501,,,,,
3,BDOW,1,3,0,2,0,59.3,0.018451429,0.042269781,66.5,0.038029977,65.58192135,24.58192135,,,,,
3,BDOW,3,1,0,2,0,59.4,0.018665086,0.043755232,66.8,0.039574422,65.92769174,24.92769174,,,,,
3,BDOW,1,1,0,2,0,59.4,0.018665086,0.044261894,66.9,0.040133899,66.04962709,25.04962709,,,,,
3,BDOW,1,1,0,2,0,59.3,0.018451429,0.044261894,66.9,0.040232574,66.07095651,25.07095651,,,,,
3,BDOW,1,2,0,2,0,60.7,0.021678538,0.047976658,67.6,0.042799541,66.6081823,25.6081823,,,,,
3,BDOW,1,1,1,2,0,59.7,0.019321018,0.045817353,67.2,0.041544291,66.34962708,25.34962708,,,,,
3,BDOW,1,3,0,2,0,59.4,0.018665086,0.045292886,67.1,0.041268149,66.2916998,25.2916998,,,,,
3,BDOW,1,1,1,2,0,60,0.02,0.046884576,67.4,0.042404758,66.52769179,25.52769179,,,,,
3,BDOW,1,2,1,2,0,60.2,0.02046586,0.047427474,67.5,0.042784505,66.60513031,25.60513031,,,,,
